"0 Bedroom, 1 Bathroom Apartment for Rent - 470 Roncesvalles",https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/ec/ecdd5390-86fe-440b-8362-3600dbe87def?rule=kijijica-200-jpg,28-09-2022,Toronto,Beds:                                                     Bachelor/Studio,Hurry! Limited Time offer. Move-in on or before October 1st and get 1-month free rent for October on Select suites Hurry! Limited Time offer. Move-in on or before October 1st and get 1-month free ...,1619.0,$
Roncesvalles Bachelor Apartment for Rent - 55 Triller Avenue,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/1e/1e65024e-7035-410d-8fa6-64eb8dd84c12?rule=kijijica-200-jpg,28-09-2022,Toronto,Beds:                                                     Bachelor/Studio,"Current Promotions View our units by clicking the virtual tour link, schedule a video tour or make an appointment for in person viewing. (647) 490-0601Virtual Open House: View our units by clicking ...",1606.0,$
1BR & 2BR Brand new Condo units available at Yonge & Finch !!,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/27/27e7f5b4-a781-406d-94ea-e171493b0565?rule=kijijica-200-jpg,26-09-2022,City of Toronto,Beds:                                                     2 + Den,"Looking for a couple/working professional to lease brand new Condo units at Yonge & Finch available immediately !! Steps to Finch TTC Subway, Metro, Walmart, Yonge-Finch Plaza, Hwy 401, Willowdale ...                                                                                                                                                                                                                                                                                    Leasing Condos all over GTA!! Studio, 1 Bedroom, 1+Den, 2 bedroom, 3 Bedroom....CALL NOW!!",2300.0,$
One Bedroom Suites  | Minto Yorkville for Rent,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/fb/fbb2657c-7ad4-4428-b489-9f6006363f40?rule=kijijica-200-jpg,31-08-2022,City of Toronto,Beds:                                                     1,Utilities Included Heat Water Building Features Covered parking Elevators Social room Sauna Fitness room Wheelchair access Recreation room Public transit Shopping nearby Parks nearby Schools nearby ...                                                                                                                                                                                                                                                                                    Premium suites at Bay and Yorkville in Toronto,3209.0,$
Newly renovated 3 Bedroom 3 Bathrooms (Gerrard and Main),https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/2c/2ce97d03-20fa-4c56-8e4e-e708c9ea554b?rule=kijijica-200-jpg,25-09-2022,City of Toronto,Beds:                                                     3,Newly Renovated 3 Bedroom Apartment. Minutes From THE BEACH Separate Entrance. Large Bright Windows. 16 foot ceiling in formal Dining room Separate Hydro And Heat Controls Professional Landscaped ...,3895.0,$
2 Bedroom Apartments for Rent on Bathurst Street,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/b7/b7055f9f-39ec-486c-8aa4-44bf8a34b184?rule=kijijica-200-jpg,28-09-2022,City of Toronto,Beds:                                                     2,"Join Us for Our In-person Open House Every Wednesday & Friday, from 4pm to 6pm. Call Now to Reserve Your Spot! Experience the charm of this historic three-story Toronto apartment building with a ...                                                                                                                                                                                                                                                                                    1 Month FREE on 13 Month Lease",2399.0,$
2 Bedroom Apartments for Rent on Queen Street East,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/02/02fb0dec-b471-4687-8dbd-28a9b87f6b14?rule=kijijica-200-jpg,28-09-2022,Toronto,Beds:                                                     2,"* Join Us For Our Open House Every Wednesday 2:00 - 6:00 pm! Call To Register* The Balmy Beach Club offers endless activities including a fitness center, hockey, lawn bowling, paddling, rugby, ...                                                                                                                                                                                                                                                                                    Ask About our Rental Incentive!",2433.0,$
1 Bedroom Apartments for Rent on Queen Street East,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/eb/eb1a5729-0dc4-4522-bd02-330acb6c3dc0?rule=kijijica-200-jpg,28-09-2022,Toronto,Beds:                                                     1,"* Join Us For Our Open House Every Wednesday 2:00 - 6:00 pm! Call To Register* The Balmy Beach Club offers endless activities including a fitness center, hockey, lawn bowling, paddling, rugby, ...                                                                                                                                                                                                                                                                                    Ask About our Rental Incentive!",1859.0,$
1 Bedroom Apartments for Rent on Bathurst Street,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/00/002f9906-b14b-4d9d-bc8a-7f8c4e2ee691?rule=kijijica-200-jpg,28-09-2022,Toronto,Beds:                                                     1,"Join Us for Our In-person Open House Every Wednesday & Friday, from 4pm to 6pm. Call Now to Reserve Your Spot! Located just North of St. Clair in Forest Hill, we are just steps away from public ...                                                                                                                                                                                                                                                                                    Ask About our Rental Incentive!",2130.0,$
1 Bedroom Apartments for Rent on Queen Street East,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/fa/fa201813-9660-466b-afc2-cb0ea8f18b1f?rule=kijijica-200-jpg,28-09-2022,Toronto,Beds:                                                     1,Property Features These exceptional low-rise properties sit on the north side of Queen Street East just east of Victoria Park Avenue located in the well sought-after neighborhood of The Beaches. Just ...                                                                                                                                                                                                                                                                                    Ask About our Rental Incentive!,1822.0,$
